sha, contributor, date, message
25474b347c, Seth Hillbrand, Mon Apr 25 21:50:45 2022, "Fix frustration with mirroring autoplaced fields"
1a70465927, Seth Hillbrand, Mon Apr 25 21:46:16 2022, "Use instance data to store values"
f5d612eaed, Jeff Young, Mon Apr 25 11:01:02 2022, "Switch <insert> replacement on OSX to <f1>."
d192d3c31d, Jeff Young, Mon Apr 25 10:39:00 2022, "Better violation title for disabled layers check."
781bff9bff, Jeff Young, Mon Apr 25 00:54:01 2022, "Minor cleanup."
3a47d50df4, Jeff Young, Mon Apr 25 00:51:54 2022, "Fix capitalization error."
3bdae40881, Jeff Young, Mon Apr 25 00:44:02 2022, "Remove extra layer of parens."
90bfe2d94b, Jeff Young, Sun Apr 24 18:38:34 2022, "Remove Save Copy As from fp editor, and rename to Save a Copy elsewhere."
3304ad75ca, Jeff Young, Sun Apr 24 18:24:35 2022, "Add on-the-fly i18n update for m_inactiveLayersLabel."
6738708a7f, Jeff Young, Sun Apr 24 17:30:20 2022, "Disable background color when printing in black & white."
52eb210aa8, Jeff Young, Sun Apr 24 17:22:41 2022, "Initialize virtual page no. to something more reasonable."
3bc34590c7, jean-pierre charras, Sun Apr 24 18:40:10 2022, "Eeschema: fix missing call to UpdateMessagePanel() due to commit e09147db. EE_INSPECTION_TOOL::UpdateMessagePanel was called by EVENTS::SelectedEvent But This event after commit calls E_INSPECTION_TOOL::CrossProbe(), and no longer UpdateMessagePanel. So CrossProbe() now calls UpdateMessagePanel. Fixes #11447 https://gitlab.com/kicad/code/kicad/issues/11447"
728777da7c, Jeff Young, Sun Apr 24 15:39:00 2022, "While icons aren't often used in Mac menus, they *are* supported."
b04f1b2d93, Jeff Young, Sun Apr 24 15:14:11 2022, "Change pad-type-matches-hole-presence from warning to error."
4cd48cd5c9, Jeff Young, Sat Apr 23 22:39:00 2022, "Fix some test issues."
b4b16e7e0f, Jeff Young, Sat Apr 23 22:29:58 2022, "Adjust overbar height for outline fonts."
f0dab2e07b, Jeff Young, Sat Apr 23 22:29:46 2022, "Fix some layer handling issues."
dd561f1e4d, Jeff Young, Sat Apr 23 22:04:43 2022, "Improve Cleanup Tracks and Vias messages."
9b6a10fa6a, Jeff Young, Sat Apr 23 15:19:50 2022, "Fix mirrored overbars."
e6684bf7c7, Jeff Young, Sat Apr 23 12:33:53 2022, "Add footprint checks to board-level DRC."
4525b1f085, Jeff Young, Sat Apr 23 10:39:34 2022, "More consistency in DRC error messages."
c6f83b6dec, Jeff Young, Thu Apr 21 12:57:15 2022, "ADDED Duplicate Footprint, Rename Symbol and Rename Footprint."
b42365190e, Mike Williams, Mon Apr 11 20:03:17 2022, "Schematic/PCB: deleting fields sets them to invisible"
1e80f3a65a, jean-pierre charras, Thu Apr 21 10:01:21 2022, "pcad importer: fix a truncation when converting mils to IU. The value in mils is a double, but the function to convert in IU uses int. Fixes #11380 https://gitlab.com/kicad/code/kicad/issues/11380"
4afe4c0aa0, jean-pierre charras, Thu Apr 21 09:00:04 2022, "Fp editor: Add automatic zoom when loading a fp from library. When loading from a board, the automatic zoom was already in play."
7cb7a68b0e, Jeff Young, Wed Apr 20 17:26:05 2022, "Make sure Type regex doesn't match before Pad_Type or Pin_Type."
df3e02d9b9, Marcus A. Romer, Sun Mar 27 08:29:13 2022, "Fix initialisation of default line width settings"
eb1a238a53, Jeff Young, Wed Apr 20 17:19:23 2022, "Remove extra event handler."
fc2eb2d7c9, Jeff Young, Wed Apr 20 15:50:25 2022, "Fix missing line keeping tabs from switching."
fb1e1aec9a, Jeff Young, Wed Apr 20 13:00:19 2022, "Add tab processing for outline fonts."
37a2ee7d03, Jeff Young, Wed Apr 20 00:33:13 2022, "Replace tab processing that got lost in move to new font engine."
97071e330e, Seth Hillbrand, Tue Apr 19 23:57:38 2022, "Update Translations"
a52d4ef0f7, Ulices, Sat Apr 16 17:11:35 2022, "Translated using Weblate (Spanish (Mexico))"
1f388f2487, Wellington Terumi Uemura, Sat Apr 16 09:20:07 2022, "Translated using Weblate (Portuguese (Brazil))"
f71e615b1f, Henrik Kauhanen, Sun Apr 17 16:42:55 2022, "Translated using Weblate (Swedish)"
17c01ef2b0, ZbeeGin, Sat Apr 16 09:22:06 2022, "Translated using Weblate (Polish)"
e548cd7117, co8 j, Sun Apr 17 08:48:30 2022, "Translated using Weblate (Japanese)"
eb4ed63ca7, Toni Laiho, Sun Apr 17 17:37:19 2022, "Translated using Weblate (Finnish)"
47a14ad340, Mark Hämmerling, Tue Apr 19 00:10:04 2022, "Translated using Weblate (German)"
9dc00e67d5, Jan Straka, Sat Apr 16 18:18:32 2022, "Translated using Weblate (Czech)"
fa7da8c7bc, Eric, Fri Apr 15 23:00:05 2022, "Translated using Weblate (Chinese (Simplified))"
aac6f576c2, Seth Hillbrand, Tue Apr 19 23:43:32 2022, "Fix broken comparison in pin_numbers"
4ab2c93070, Jeff Young, Tue Apr 19 22:11:43 2022, "Update Selection Filter title bar with language changes."
ffc28f23e5, Jeff Young, Tue Apr 19 20:19:47 2022, "Repair GetFullRef() and use it when running Symbol Fields Table filtering."
08f15fe587, Jeff Young, Tue Apr 19 20:09:19 2022, "ADDED New Library functionality to Footprint/Symbol Save As."
84f620a96e, Jeff Young, Tue Apr 19 12:25:29 2022, "Minor dialog beautification."
c619a63c06, Jeff Young, Mon Apr 18 23:55:44 2022, "Fix backwards layer order and minor layout issue."
c38ec9344f, jean-pierre charras, Tue Apr 19 09:43:24 2022, "DIALOG_NET_INSPECTOR_BASE: fix a truncation text in a wxComboBox. Probably Windows only: the size was fixed, and can create issues in non English languages"
c3bed8f6ee, Jeff Young, Mon Apr 18 23:44:30 2022, "Resolve textvars before opening file browser."
cc18c31cb5, Jeff Young, Mon Apr 18 19:30:33 2022, "Fix some layout issues in the Project Template Selector."
ab131859f6, Jeff Young, Mon Apr 18 11:09:43 2022, "Bring footprint textvars in line with symbol textvars."
653baf270c, Mike Williams, Tue Apr 12 21:32:27 2022, "Schematic: drag created / changed segments need junction checks"
801c5deb87, Simon Richter, Mon Apr 18 02:16:17 2022, "Fix minimum size calculation for new hierarchical sheets"
